time (seconds),encoderLeft (meters),encoderRight (meters)
14.802,0.13140350580215454,-0.1318022757768631
14.907,0.13257692754268646,-0.13297869265079498
15.01,0.13375034928321838,-0.13415507972240448
15.107,0.1349238008260727,-0.1353314369916916
15.215,0.136097252368927,-0.1365077942609787
15.305,0.13727068901062012,-0.1376841813325882
15.402,0.13844411075115204,-0.1388605535030365
15.507,0.13961756229400635,-0.1400369554758072
15.602,0.14079102873802185,-0.1412132978439331
15.717,0.14196445047855377,-0.1423896849155426
15.816,0.1431378871202469,-0.1435660719871521
15.914,0.1443113088607788,-0.1447424590587616
16.002,0.1454847753047943,-0.1459188312292099
16.104,0.14665818214416504,-0.1470952183008194
16.192,0.14783164858818054,-0.1482715904712677
16.3,0.14900510013103485,-0.149447962641716
16.404,0.15017850697040558,-0.1506243795156479
16.502,0.15135198831558228,-0.1518007069826126
16.598,0.1525253802537918,-0.15297715365886688
16.701999999999998,0.1536988466978073,-0.1541534960269928
16.803,0.15487228333950043,-0.1553298979997635
16.899,0.15604571998119354,-0.15650628507137299
17.004,0.15721918642520905,-0.1576826423406601
17.104,0.15839257836341858,-0.15885905921459198
17.201,0.15956604480743408,-0.1600354164838791
17.302,0.1607394516468048,-0.16121181845664978
17.4,0.1619129180908203,-0.16238820552825928
17.507,0.16308633983135223,-0.16356459259986877
17.602,0.16425979137420654,-0.16474097967147827
17.701999999999998,0.16543321311473846,-0.16591736674308777
17.801,0.16660666465759277,-0.16709375381469727
17.9,0.16786819696426392,-0.16815854609012604
18.004,0.17786341905593872,-0.1581650972366333
18.109,0.18786218762397766,-0.1481664627790451
18.21,0.1978609412908554,-0.1381678432226181
18.31,0.20785969495773315,-0.1281692087650299
18.402,0.2178584635257721,-0.11817058175802231
18.508,0.22785721719264984,-0.10817195475101471
18.605,0.2378559708595276,-0.09817332774400711
18.703,0.24785472452640533,-0.08817470073699951
18.802,0.25785353779792786,-0.07817602157592773
18.905,0.26785239577293396,-0.06817729771137238
19,0.2778512239456177,-0.0581786148250103
19.101,0.287850022315979,-0.048179928213357925
19.202,0.2977372407913208,-0.03826933726668358
19.304,0.2965654730796814,-0.037091679871082306
19.398,0.29538968205451965,-0.03591788932681084
19.502,0.2942139804363251,-0.03474405035376549
19.602,0.29303818941116333,-0.03357028588652611
19.703,0.2919739782810211,-0.032308779656887054
19.805,0.3019689619541168,-0.022314542904496193
19.908,0.3119677007198334,-0.012315891683101654
20.002,0.3219664394855499,-0.0023172420915216208
20.102,0.3319651782512665,0.007681406103074551
20.202,0.34196391701698303,0.017680056393146515
20.303,0.3519626557826996,0.027678703889250755
20.403,0.36196139454841614,0.037677351385354996
20.502,0.37196022272109985,0.047676052898168564
20.598,0.3819590210914612,0.05767473578453064
20.699,0.3919578790664673,0.06767347455024719
20.798000000000002,0.4019566774368286,0.07767215371131897
20.894,0.4119555354118347,0.08767087012529373
21.005,0.4218427240848541,0.09758143126964569
21.1,0.42067140340805054,0.09875915199518204
21.2,0.4194956123828888,0.09993290901184082
21.303,0.41831982135772705,0.10110669583082199
21.401,0.4171440899372101,0.10228051990270615
21.5,0.4159683287143707,0.10345430672168732
21.601,0.414792537689209,0.1046280711889267
21.7,0.41361677646636963,0.10580186545848846
21.802,0.41255250573158264,0.1070636734366417
21.903,0.42254701256752014,0.11705789715051651
22.005,0.4325457513332367,0.1270565539598465
22.102,0.44254446029663086,0.1370552033185959
22.202,0.4525431990623474,0.14705385267734528
22.302,0.46254193782806396,0.15705250203609467
22.39,0.4725406765937805,0.16705115139484406
22.501,0.48253950476646423,0.17704986035823822
22.596,0.49253836274147034,0.18704859912395477
22.701999999999998,0.502537190914154,0.19704729318618774
22.804,0.5125360488891602,0.2070460021495819
22.9,0.5225348472595215,0.2170446664094925
23.002,0.5325336456298828,0.22704339027404785
23.1,0.5424208641052246,0.2369539439678192
23.202,0.5412492752075195,0.23813119530677795
23.303,0.540073573589325,0.2393050193786621
23.412,0.5388978123664856,0.24047884345054626
23.5,0.5377219915390015,0.24165262281894684
23.604,0.5365462303161621,0.2428264021873474
23.703,0.5354819297790527,0.24408820271492004
23.802,0.545476496219635,0.2540822923183441
23.902,0.5554752349853516,0.2640809714794159
24.003,0.5654739141464233,0.2740796208381653
24.104,0.5754726529121399,0.2840782701969147
24.204,0.5854713916778564,0.29407691955566406
24.302,0.595470130443573,0.30407556891441345
24.402,0.6054689884185791,0.31407430768013
24.502,0.6154678463935852,0.32407301664352417
24.602,0.6254665851593018,0.33407169580459595
24.7,0.6354655027389526,0.3440704345703125
24.803,0.645464301109314,0.3540691137313843
24.901,0.6553515195846558,0.3639797866344452
25.001,0.6541800498962402,0.36515724658966064
25.103,0.6530042886734009,0.3663310706615448
25.203,0.6518285274505615,0.36750486493110657
25.305,0.6506527662277222,0.36867865920066833
25.405,0.6494770050048828,0.3698524832725525
25.502,0.6484127044677734,0.37111422419548035
25.601,0.6584070920944214,0.38110798597335815
25.701999999999998,0.6684057712554932,0.39110666513442993
25.804,0.6784045100212097,0.4011053442955017
25.91,0.6884031891822815,0.4111040234565735
26.004,0.698401927947998,0.4211026728153229
26.102,0.7084006667137146,0.43110135197639465
26.203,0.7183994650840759,0.4411000609397888
26.303,0.728398323059082,0.45109879970550537
26.402,0.7383971214294434,0.46109750866889954
26.503,0.7483959794044495,0.4710961878299713
26.602,0.7583948373794556,0.48109492659568787
26.703,0.7683936357498169,0.49109360575675964
26.804,0.7782807946205139,0.5010042786598206
26.906,0.7771095037460327,0.5021820068359375
27.002,0.7759337425231934,0.5033558011054993
27.104,0.774757981300354,0.504529595375061
27.206,0.7735822200775146,0.5057034492492676
27.313,0.7724063992500305,0.5068772435188293
27.405,0.7712305784225464,0.5080509781837463
27.504,0.770166277885437,0.5093121528625488
27.611,0.7801603078842163,0.519306480884552
27.708,0.7901590466499329,0.5293051600456238
27.803,0.8001577258110046,0.5393038392066956
27.904,0.8101564645767212,0.5493025183677673
28.002,0.8201552033424377,0.5593011379241943
28.101,0.8301539421081543,0.5692998170852661
28.203,0.8401526808738708,0.5792984366416931
28.306,0.850151538848877,0.5892971754074097
28.401,0.8601503372192383,0.5992958545684814
28.503,0.8701491951942444,0.609294593334198
28.604,0.8801479935646057,0.6192932724952698
28.705,0.8901468515396118,0.6292920112609863
28.802,0.9001457095146179,0.6392906904220581
28.902,0.910144567489624,0.6492894291877747
28.999,0.9201433658599854,0.6592881083488464
29.102,0.9301422238349915,0.669286847114563
29.202,0.9401410818099976,0.6792855858802795
29.302,0.9501398801803589,0.6892842650413513
29.401,0.9601386785507202,0.6992829442024231
29.503,0.9701375365257263,0.7092816233634949
29.598,0.9801363348960876,0.7192803025245667
29.701,0.990135133266449,0.7292789816856384
29.79,1.000133991241455,0.7392776608467102
29.903,1.0101327896118164,0.7492763996124268
30.003,1.0201317071914673,0.7592751383781433
30.102,1.0301305055618286,0.7692738175392151
30.22,1.04012930393219,0.7792724967002869
30.31,1.0500400066375732,0.7891595959663391
30.409,1.0512166023254395,0.7879884243011475
30.503,1.0523899793624878,0.7868120074272156
30.602,1.0535634756088257,0.7856356501579285
30.703,1.0547369718551636,0.7844592928886414
30.798000000000002,1.055910348892212,0.7832829356193542
30.91,1.0570838451385498,0.7821065187454224
31.003,1.0583451986312866,0.7810415625572205
31.102,1.0683403015136719,0.7910346388816833
31.207,1.0783390998840332,0.8010332584381104
31.303,1.0883378982543945,0.8110318183898926
31.405,1.0983365774154663,0.8210304379463196
31.502,1.1083353757858276,0.8310290575027466
31.603,1.118334174156189,0.8410276770591736
