time (seconds),encoderLeft (meters),encoderRight (meters)
2194.202,43.6964111328125,38.0062255859375
2194.302,43.6964111328125,38.0062255859375
2194.399,43.6964111328125,38.006221771240234
2194.501,43.696407318115234,38.006221771240234
2194.597,43.696407318115234,38.006221771240234
2194.698,43.696407318115234,38.00621795654297
2194.803,43.69640350341797,38.00621795654297
2194.901,43.69640350341797,38.00621795654297
2194.999,43.69640350341797,38.0062141418457
2195.113,43.69640350341797,38.0062141418457
2195.207,43.6963996887207,38.0062141418457
2195.301,43.6963996887207,38.00621032714844
2195.397,43.6963996887207,38.00621032714844
2195.495,43.69639587402344,38.00621032714844
2195.607,43.69639587402344,38.00620651245117
2195.703,43.69639587402344,38.00620651245117
2195.798,43.69639205932617,38.00620651245117
2195.891,43.69639205932617,38.006202697753906
2196,43.69639205932617,38.006202697753906
2196.093,43.69639205932617,38.006202697753906
2196.195,43.69639205932617,38.006202697753906
2196.311,43.69639205932617,38.006202697753906
2196.4,43.69639205932617,38.006202697753906
2196.503,43.69639205932617,38.006202697753906
2196.596,43.69639205932617,38.006202697753906
2196.7,43.696388244628906,38.00619888305664
2196.804,43.696388244628906,38.00619888305664
2196.901,43.696388244628906,38.00619888305664
2197.005,43.69638442993164,38.006195068359375
2197.101,43.69638442993164,38.006195068359375
2197.201,43.69638442993164,38.006195068359375
2197.301,43.696380615234375,38.00619125366211
2197.398,43.69802474975586,38.004547119140625
2197.501,43.70037078857422,38.002197265625
2197.604,43.702720642089844,37.99984359741211
2197.704,43.7050666809082,37.997493743896484
2197.802,43.70741653442383,37.995140075683594
2197.899,43.70976257324219,37.99279022216797
2198.001,43.71211242675781,37.99043655395508
2198.1,43.71445846557617,37.98808670043945
2198.203,43.7168083190918,37.98573684692383
2198.301,43.719154357910156,37.98338317871094
2198.401,43.72150421142578,37.98103332519531
2198.508,43.72385025024414,37.97867965698242
2198.604,43.726200103759766,37.9763298034668
2198.701,43.728546142578125,37.97397994995117
2198.802,43.73089599609375,37.97162628173828
2198.913,43.73324203491211,37.969276428222656
2199.01,43.735591888427734,37.966922760009766
2199.102,43.737937927246094,37.96457290649414
2199.205,43.74028778076172,37.96221923828125
2199.307,43.74263381958008,37.959869384765625
2199.411,43.7449836730957,37.95751953125
2199.51,43.74733352661133,37.95516586303711
2199.603,43.74967956542969,37.952816009521484
2199.7,43.75202941894531,37.950462341308594
2199.799,43.75437545776367,37.94811248779297
2199.902,43.7567253112793,37.94575881958008
2200.002,43.759071350097656,37.94340896606445
2200.104,43.76142120361328,37.94105911254883
2200.201,43.76376724243164,37.93870544433594
2200.302,43.766117095947266,37.93635559082031
2200.4,43.768463134765625,37.93400192260742
2200.511,43.77081298828125,37.9316520690918
2200.616,43.77315902709961,37.929298400878906
2200.704,43.775508880615234,37.92694854736328
2200.802,43.777854919433594,37.924598693847656
2200.906,43.78020477294922,37.922245025634766
2201,43.78255081176758,37.91989517211914
2201.101,43.7849006652832,37.91754150390625
2201.2,43.78724670410156,37.915191650390625
2201.303,43.78959655761719,37.912837982177734
2201.401,43.79194259643555,37.91048812866211
2201.501,43.79429244995117,37.908138275146484
2201.601,43.79663848876953,37.905784606933594
2201.701,43.798988342285156,37.90343475341797
2201.807,43.80133819580078,37.90108108520508
2201.903,43.80368423461914,37.89873123168945
2202.003,43.806034088134766,37.89637756347656
2202.102,43.808380126953125,37.89402770996094
2202.202,43.81072998046875,37.89167785644531
2202.297,43.81307601928711,37.88932418823242
